Date,EPU Index,Previous EPU Index,EPU_Change
2018-07-04,426.51,279.93,146.57999999999998
2018-07-05,411.87,411.48,0.38999999999998636
2018-07-06,362.78,426.51,-63.73000000000002
2018-07-09,260.32,411.87,-151.55
2018-07-10,197.19,362.78,-165.58999999999997
2018-07-11,231.84,260.32,-28.47999999999999
2018-07-12,317.52,197.19,120.32999999999998
2018-07-13,319.17,231.84,87.33000000000001
2018-07-16,184.39,317.52,-133.13
2018-07-17,444.09,319.17,124.91999999999996
2018-07-18,233.78,184.39,49.390000000000015
2018-07-19,284.24,444.09,-159.84999999999997
2018-07-20,199.91,233.78,-33.870000000000005
2018-07-23,257.06,284.24,-27.180000000000007
2018-07-24,478.56,199.91,278.65
2018-07-25,530.13,257.06,273.07
2018-07-26,97.4,478.56,-381.15999999999997
2018-07-27,354.22,530.13,-175.90999999999997
2018-07-30,378.1,97.4,280.70000000000005
2018-07-31,408.2,354.22,53.97999999999996
2018-08-01,421.95,378.1,43.849999999999966
2018-08-02,565.6,408.2,157.40000000000003
2018-08-03,562.4,421.95,140.45
2018-08-06,551.25,565.6,-14.350000000000023
2018-08-07,335.21,562.4,-227.19
2018-08-08,207.95,551.25,-343.3
2018-08-09,214.01,335.21,-121.19999999999999
2018-08-10,211.43,207.95,3.480000000000018
2018-08-13,130.01,214.01,-84.0
2018-08-14,211.64,211.43,0.20999999999997954
2018-08-15,184.28,130.01,54.27000000000001
2018-08-16,301.99,211.64,90.35000000000002
2018-08-17,317.44,184.28,133.16
2018-08-20,286.54,301.99,-15.449999999999989
2018-08-21,113.29,317.44,-204.14999999999998
2018-08-22,208.25,286.54,-78.29000000000002
2018-08-23,305.15,113.29,191.85999999999996
2018-08-24,266.47,208.25,58.22000000000003
2018-08-28,326.98,305.15,21.83000000000004
2018-08-29,307.6,266.47,41.129999999999995
2018-08-30,258.73,326.98,-68.25
2018-08-31,110.88,307.6,-196.72000000000003
2018-09-03,249.38,258.73,-9.350000000000023
2018-09-04,169.95,110.88,59.06999999999999
2018-09-05,84.71,249.38,-164.67000000000002
2018-09-06,88.56,169.95,-81.38999999999999
2018-09-07,94.01,84.71,9.300000000000011
2018-09-10,76.77,88.56,-11.790000000000006
2018-09-11,78.67,94.01,-15.340000000000003
2018-09-12,35.56,76.77,-41.209999999999994
2018-09-13,75.46,78.67,-3.210000000000008
2018-09-14,54.14,35.56,18.58
2018-09-17,106.99,75.46,31.53
2018-09-18,163.68,54.14,109.54
2018-09-19,118.23,106.99,11.240000000000009
2018-09-20,101.69,163.68,-61.99000000000001
2018-09-21,160.29,118.23,42.05999999999999
2018-09-24,159.13,101.69,57.44
2018-09-25,117.83,160.29,-42.459999999999994
2018-09-26,66.18,159.13,-92.94999999999999
2018-09-27,75.73,117.83,-42.099999999999994
2018-09-28,95.1,66.18,28.919999999999987
2018-10-01,218.75,75.73,143.01999999999998
2018-10-02,172.99,95.1,77.89000000000001
2018-10-03,161.22,218.75,-57.53
2018-10-04,172.13,172.99,-0.8600000000000136
2018-10-05,111.95,161.22,-49.269999999999996
2018-10-08,114.72,172.13,-57.41
2018-10-09,80.03,111.95,-31.92
2018-10-10,102.63,114.72,-12.090000000000003
2018-10-11,95.72,80.03,15.689999999999998
2018-10-12,130.22,102.63,27.590000000000003
2018-10-15,122.25,95.72,26.53
2018-10-16,164.54,130.22,34.31999999999999
2018-10-17,127.52,122.25,5.269999999999996
2018-10-18,201.36,164.54,36.82000000000002
2018-10-19,133.82,127.52,6.299999999999997
2018-10-22,166.17,201.36,-35.190000000000026
2018-10-23,78.04,133.82,-55.77999999999999
2018-10-24,148.33,166.17,-17.839999999999975
2018-10-25,196.24,78.04,118.2
2018-10-26,131.03,148.33,-17.30000000000001
2018-10-29,115.59,196.24,-80.65
2018-10-30,86.53,131.03,-44.5
2018-10-31,125.57,115.59,9.97999999999999
2018-11-01,136.47,86.53,49.94
2018-11-02,116.44,125.57,-9.129999999999995
2018-11-05,148.61,136.47,12.140000000000015
2018-11-06,209.72,116.44,93.28
2018-11-07,95.14,148.61,-53.47000000000001
2018-11-08,147.83,209.72,-61.889999999999986
2018-11-09,77.9,95.14,-17.239999999999995
2018-11-12,119.92,147.83,-27.91000000000001
2018-11-13,122.9,77.9,45.0
2018-11-14,110.31,119.92,-9.61
2018-11-15,86.13,122.9,-36.77000000000001
2018-11-16,87.24,110.31,-23.070000000000007
2018-11-19,40.16,86.13,-45.97
2018-11-20,39.01,87.24,-48.23
2018-11-21,96.18,40.16,56.02000000000001
2018-11-22,38.15,39.01,-0.8599999999999994
2018-11-23,51.78,96.18,-44.400000000000006
2018-11-26,136.55,38.15,98.4
2018-11-27,169.52,51.78,117.74000000000001
2018-11-28,140.28,136.55,3.7299999999999898
2018-11-29,300.77,169.52,131.24999999999997
2018-11-30,200.35,140.28,60.06999999999999
2018-12-03,275.23,300.77,-25.539999999999964
2018-12-04,134.11,200.35,-66.23999999999998
2018-12-05,104.06,275.23,-171.17000000000002
2018-12-06,114.96,134.11,-19.15000000000002
2018-12-07,135.7,104.06,31.639999999999986
2018-12-10,130.3,114.96,15.340000000000018
2018-12-11,122.82,135.7,-12.879999999999995
2018-12-12,90.56,130.3,-39.74000000000001
2018-12-13,175.32,122.82,52.5
2018-12-14,173.09,90.56,82.53
2018-12-17,145.96,175.32,-29.359999999999985
2018-12-18,149.84,173.09,-23.25
2018-12-19,167.58,145.96,21.620000000000005
2018-12-20,126.49,149.84,-23.35000000000001
2018-12-21,172.98,167.58,5.399999999999977
2018-12-24,221.51,126.49,95.02
2018-12-27,224.95,172.98,51.97
2018-12-28,210.47,221.51,-11.039999999999992
2018-12-31,208.65,224.95,-16.299999999999983
2019-01-02,261.75,210.47,51.28
2019-01-03,260.5,208.65,51.849999999999994
2019-01-04,202.67,261.75,-59.08000000000001
2019-01-07,222.88,260.5,-37.620000000000005
2019-01-08,353.46,202.67,150.79
2019-01-09,184.28,222.88,-38.599999999999994
2019-01-10,245.54,353.46,-107.91999999999999
2019-01-11,264.37,184.28,80.09
2019-01-14,354.67,245.54,109.13000000000002
2019-01-15,264.2,264.37,-0.17000000000001592
2019-01-16,214.45,354.67,-140.22000000000003
2019-01-17,220.77,264.2,-43.42999999999998
2019-01-18,231.23,214.45,16.78
2019-01-21,154.82,220.77,-65.95000000000002
2019-01-22,177.09,231.23,-54.139999999999986
2019-01-23,125.01,154.82,-29.809999999999988
2019-01-24,196.05,177.09,18.960000000000008
2019-01-25,157.73,125.01,32.719999999999985
2019-01-28,169.08,196.05,-26.97
2019-01-29,113.52,157.73,-44.209999999999994
2019-01-30,178.26,169.08,9.179999999999978
2019-01-31,215.31,113.52,101.79
2019-02-01,160.6,178.26,-17.659999999999997
2019-02-04,229.79,215.31,14.47999999999999
2019-02-05,136.49,160.6,-24.109999999999985
2019-02-06,291.63,229.79,61.84
2019-02-07,151.49,136.49,15.0
2019-02-08,110.93,291.63,-180.7
2019-02-11,140.29,151.49,-11.200000000000017
2019-02-12,34.43,110.93,-76.5
2019-02-13,150.51,140.29,10.219999999999999
2019-02-14,46.78,34.43,12.350000000000001
2019-02-15,116.61,150.51,-33.89999999999999
2019-02-18,179.19,46.78,132.41
2019-02-19,159.55,116.61,42.94000000000001
2019-02-20,101.65,179.19,-77.53999999999999
2019-02-21,152.4,159.55,-7.150000000000006
2019-02-22,147.67,101.65,46.01999999999998
2019-02-25,119.4,152.4,-33.0
2019-02-26,176.23,147.67,28.560000000000002
