Date,% Voda Change,Previous % Voda Change,Next % Voda Change
2023-04-21,1.52,-1.18,4.81
2023-04-28,4.27,3.83,-6.3
2023-05-05,4.81,1.52,-12.56
2023-05-12,-6.3,4.27,-11.56
2023-05-19,-12.56,4.81,-8.98
2023-05-26,-11.56,-6.3,-5.78
2023-06-02,-8.98,-12.56,-2.54
2023-06-09,-5.78,-11.56,-2.92
2023-06-16,-2.54,-8.98,0.35
2023-06-23,-2.92,-5.78,-2.72
2023-06-30,0.35,-2.54,-2.39
2023-07-07,-2.72,-2.92,3.96
2023-07-14,-2.39,0.35,4.92
2023-07-21,3.96,-2.72,0.15
2023-07-28,4.92,-2.39,-4.03
2023-08-04,0.15,3.96,-3.69
2023-08-11,-4.03,4.92,-1.95
2023-08-18,-3.69,0.15,3.81
2023-08-25,-1.95,-4.03,2.72
2023-09-01,3.81,-3.69,8.44
2023-09-08,2.72,-1.95,10.67
2023-09-15,8.44,3.81,-3.75
2023-09-22,10.67,2.72,-7.69
2023-09-29,-3.75,8.44,0.57
2023-10-06,-7.69,10.67,1.2
2023-10-13,0.57,-3.75,-1.5
2023-10-20,1.2,-7.69,3.98
2023-10-27,-1.5,0.57,0.37
2023-11-03,3.98,1.2,-4.65
2023-11-10,0.37,-1.5,-6.07
2023-11-17,-4.65,3.98,-4.5
2023-11-24,-6.07,0.37,-3.47
2023-12-01,-4.5,-4.65,-9.7
2023-12-08,-3.47,-6.07,-0.13
2023-12-15,-9.7,-4.5,5.93
