Date,StringencyIndex_Average,Previous Stringency,Stringency_Change
2020-04-21,79.63,79.63,0.0
2020-04-21,79.63,79.63,0.0
2020-04-21,79.63,79.63,0.0
2020-04-21,79.63,79.63,0.0
2020-04-22,79.63,79.63,0.0
2020-04-22,79.63,79.63,0.0
2020-04-22,79.63,79.63,0.0
2020-04-22,79.63,79.63,0.0
2020-04-22,79.63,79.63,0.0
2020-04-23,79.63,79.63,0.0
2020-04-23,79.63,79.63,0.0
2020-04-23,79.63,79.63,0.0
2020-04-23,79.63,79.63,0.0
2020-04-23,79.63,79.63,0.0
2020-04-24,79.63,79.63,0.0
2020-04-24,79.63,79.63,0.0
2020-04-24,79.63,79.63,0.0
2020-04-24,79.63,79.63,0.0
2020-04-24,79.63,79.63,0.0
2020-04-25,79.63,79.63,0.0
2020-04-25,79.63,79.63,0.0
2020-04-25,79.63,79.63,0.0
2020-04-25,79.63,79.63,0.0
2020-04-25,79.63,79.63,0.0
2020-04-26,79.63,79.63,0.0
2020-04-26,79.63,79.63,0.0
2020-04-26,79.63,79.63,0.0
2020-04-26,79.63,79.63,0.0
2020-04-26,79.63,79.63,0.0
2020-04-27,79.63,79.63,0.0
2020-04-27,79.63,79.63,0.0
2020-04-27,79.63,79.63,0.0
2020-04-27,79.63,79.63,0.0
2020-04-27,79.63,79.63,0.0
2020-04-28,79.63,79.63,0.0
2020-04-28,79.63,79.63,0.0
2020-04-28,79.63,79.63,0.0
2020-04-28,79.63,79.63,0.0
2020-04-28,79.63,79.63,0.0
2020-04-29,79.63,79.63,0.0
2020-04-29,79.63,79.63,0.0
2020-04-29,79.63,79.63,0.0
2020-04-29,79.63,79.63,0.0
2020-04-29,79.63,79.63,0.0
2020-04-30,79.63,79.63,0.0
2020-04-30,79.63,79.63,0.0
2020-04-30,79.63,79.63,0.0
2020-04-30,79.63,79.63,0.0
2020-04-30,79.63,79.63,0.0
2020-05-01,79.63,79.63,0.0
2020-05-01,79.63,79.63,0.0
2020-05-01,79.63,79.63,0.0
2020-05-01,79.63,79.63,0.0
2020-05-01,79.63,79.63,0.0
2020-05-02,79.63,79.63,0.0
2020-05-02,79.63,79.63,0.0
2020-05-02,79.63,79.63,0.0
2020-05-02,79.63,79.63,0.0
2020-05-02,79.63,79.63,0.0
2020-05-03,79.63,79.63,0.0
2020-05-03,79.63,79.63,0.0
2020-05-03,79.63,79.63,0.0
2020-05-03,79.63,79.63,0.0
2020-05-03,79.63,79.63,0.0
2020-05-04,79.63,79.63,0.0
2020-05-04,79.63,79.63,0.0
2020-05-04,79.63,79.63,0.0
2020-05-04,79.63,79.63,0.0
2020-05-04,79.63,79.63,0.0
2020-05-05,79.63,79.63,0.0
2020-05-05,79.63,79.63,0.0
2020-05-05,79.63,79.63,0.0
2020-05-05,79.63,79.63,0.0
2020-05-05,79.63,79.63,0.0
2020-05-06,79.63,79.63,0.0
2020-05-06,79.63,79.63,0.0
2020-05-06,79.63,79.63,0.0
2020-05-06,79.63,79.63,0.0
2020-05-06,79.63,79.63,0.0
2020-05-07,79.63,79.63,0.0
2020-05-07,79.63,79.63,0.0
2020-05-07,79.63,79.63,0.0
2020-05-07,79.63,79.63,0.0
2020-05-07,79.63,79.63,0.0
2020-05-08,79.63,79.63,0.0
2020-05-08,79.63,79.63,0.0
2020-05-08,79.63,79.63,0.0
2020-05-08,79.63,79.63,0.0
2020-05-08,79.63,79.63,0.0
2020-05-09,79.63,79.63,0.0
2020-05-09,79.63,79.63,0.0
