"Date","Price","Open","High","Low","Vol.","Change %"
"25/02/2021","162.54","164.70","165.80","162.38","53.76M","-1.24%"
"24/02/2021","164.58","158.58","165.26","157.58","83.21M","3.39%"
"23/02/2021","159.18","154.30","160.00","154.16","67.08M","3.19%"
"22/02/2021","154.26","152.12","154.72","149.15","30.18M","0.40%"
"19/02/2021","153.64","148.44","154.48","145.60","59.63M","4.16%"
"18/02/2021","147.50","151.52","155.24","145.08","77.26M","-4.44%"
"17/02/2021","154.36","155.56","156.74","152.88","32.78M","-0.77%"
"16/02/2021","155.56","154.74","156.48","152.57","38.38M","1.04%"
"15/02/2021","153.96","148.34","154.90","148.04","47.42M","5.52%"
"12/02/2021","145.90","144.32","147.28","143.98","28.97M","-0.04%"
"11/02/2021","145.96","146.00","147.82","144.34","21.97M","-1.16%"
"10/02/2021","147.68","147.00","148.96","146.25","29.88M","-0.01%"
"09/02/2021","147.70","147.24","148.58","146.22","21.49M","0.15%"
"08/02/2021","147.48","147.44","149.72","146.68","41.40M","0.18%"
"05/02/2021","147.22","148.92","149.10","145.40","49.42M","0.99%"
"04/02/2021","145.78","142.36","147.54","140.10","41.49M","2.81%"
"03/02/2021","141.80","142.14","145.40","139.36","44.20M","1.16%"
"02/02/2021","140.18","136.30","140.74","135.68","32.98M","3.96%"
"01/02/2021","134.84","135.20","137.24","133.08","28.83M","0.97%"
"29/01/2021","133.54","135.08","135.84","132.66","35.25M","-2.23%"
"28/01/2021","136.58","132.80","137.14","130.18","51.77M","1.68%"
"27/01/2021","134.32","137.44","139.14","133.00","49.34M","-3.67%"
"26/01/2021","139.44","136.80","140.74","136.76","26.97M","1.69%"
"25/01/2021","137.12","144.00","145.66","136.58","40.92M","-4.15%"
"22/01/2021","143.06","143.60","144.34","141.96","51.88M","-1.20%"
"21/01/2021","144.80","146.30","147.30","143.96","20.67M","-1.04%"
"20/01/2021","146.32","146.00","153.00","144.03","33.81M","-0.37%"
"19/01/2021","146.86","153.18","153.28","145.64","39.80M","-2.95%"
"18/01/2021","151.32","148.42","151.46","147.88","18.17M","1.69%"
"15/01/2021","148.80","151.88","154.14","146.80","44.45M","-2.66%"
"14/01/2021","152.86","152.94","154.80","152.36","28.99M","0.33%"
"13/01/2021","152.36","155.00","155.00","151.82","37.48M","-1.22%"
"12/01/2021","154.24","150.94","154.86","150.94","27.52M","2.01%"
