Date,EPU Index
2019-12-24,72.8
2019-12-25,130.36
2019-12-26,131.21
2019-12-27,198.95
2019-12-28,138.47
2019-12-29,275.75
2019-12-30,151.95
2019-12-31,113.29
2020-01-01,251.14
2020-01-02,173.89
2020-01-03,168.62
2020-01-04,328.05
2020-01-05,252.2
2020-01-06,241.2
2020-01-07,115.27
2020-01-08,180.45
2020-01-09,130.57
2020-01-10,141.28
2020-01-11,215.92
2020-01-12,183.1
2020-01-13,196.12
2020-01-14,150.77
2020-01-15,185.17
2020-01-16,103.35
2020-01-17,122.76
2020-01-18,100.44
2020-01-19,227.06
2020-01-20,133.77
2020-01-21,152.05
2020-01-22,121.28
2020-01-23,122.73
2020-01-24,90.89
2020-01-25,118.14
2020-01-26,222.18
2020-01-27,108.45
2020-01-28,182.58
2020-01-29,85.06
2020-01-30,151.38
2020-01-31,236.47
2020-02-01,196.47
2020-02-02,109.7
2020-02-03,150.73
2020-02-04,147.76
2020-02-05,122.08
2020-02-06,150.47
2020-02-07,207.58
2020-02-08,181.06
2020-02-09,186.44
2020-02-10,219.82
2020-02-11,287.92
2020-02-12,160.22
2020-02-13,156.96
2020-02-14,89.97
2020-02-15,139.54
2020-02-16,257.95
2020-02-17,114.27
2020-02-18,109.22
2020-02-19,100.57
2020-02-20,144.42
2020-02-21,159.87
2020-02-22,241.69
2020-02-23,306.05
2020-02-24,106.46
2020-02-25,215.2
2020-02-26,172.32
2020-02-27,203.89
2020-02-28,264.52
2020-02-29,418.38
2020-03-01,227.94
2020-03-02,177.12
2020-03-03,218.04
2020-03-04,258.78
2020-03-05,182.37
2020-03-06,227.94
2020-03-07,183.83
2020-03-08,420.99
2020-03-09,361.41
2020-03-10,379.75
2020-03-11,280.61
2020-03-12,304.01
2020-03-13,468.32
2020-03-14,371.33
2020-03-15,811.82
2020-03-16,509.77
2020-03-17,555.81
2020-03-18,647.12
2020-03-19,738.09
2020-03-20,888.43
2020-03-21,726.57
2020-03-22,1000.67
2020-03-23,1025.87
2020-03-24,1045.35
2020-03-25,702.34
2020-03-26,955.95
2020-03-27,932.81
2020-03-28,745.03
2020-03-29,1324.5
2020-03-30,795.68
2020-03-31,554.38
2020-04-01,776.85
2020-04-02,894.01
2020-04-03,836.99
2020-04-04,888.04
2020-04-05,1183.66
2020-04-06,974.14
2020-04-07,737.82
2020-04-08,876.78
2020-04-09,748.88
2020-04-10,741.68
2020-04-11,830.75
2020-04-12,1107.06
2020-04-13,1046.96
2020-04-14,981.9
2020-04-15,931.39
2020-04-16,988.95
2020-04-17,770.94
2020-04-18,871.78
2020-04-19,1548.5
2020-04-20,1115.39
2020-04-21,913.29
2020-04-22,760.97
2020-04-23,831.35
2020-04-24,979.46
2020-04-25,1036.95
2020-04-26,1492.14
2020-04-27,1184.72
2020-04-28,952.15
2020-04-29,910.92
2020-04-30,803.78
2020-05-01,974.04
2020-05-02,809.57
2020-05-03,1217.61
2020-05-04,803.75
2020-05-05,852.4
2020-05-06,980.51
2020-05-07,953.53
2020-05-08,803.13
2020-05-09,842.54
2020-05-10,968.36
2020-05-11,636.85
2020-05-12,961.15
2020-05-13,993.12
2020-05-14,873.58
2020-05-15,609.53
2020-05-16,842.24
2020-05-17,1448.28
2020-05-18,1094.7
2020-05-19,753.52
2020-05-20,745.64
2020-05-21,672.08
2020-05-22,714.34
2020-05-23,653.59
2020-05-24,1007.27
2020-05-25,619.95
2020-05-26,747.46
2020-05-27,711.85
2020-05-28,789.84
2020-05-29,783.99
2020-05-30,923.53
