"Date","Price","Open","High","Low","Vol.","Change %"
"24/04/2019","139.860","141.500","142.160","139.560","60.66M","-1.24%"
"23/04/2019","141.620","142.340","143.940","141.420","72.31M","-0.66%"
"18/04/2019","142.560","143.780","144.260","141.980","59.86M","-0.81%"
"17/04/2019","143.720","142.500","144.320","142.180","62.81M","0.79%"
"16/04/2019","142.600","143.000","144.600","142.140","49.91M","0.07%"
"15/04/2019","142.500","140.160","142.760","139.780","64.44M","1.39%"
"12/04/2019","140.540","138.940","140.540","138.160","90.19M","1.77%"
"11/04/2019","138.100","140.000","140.000","137.540","76.93M","-1.24%"
"10/04/2019","139.840","140.620","141.880","139.620","118.79M","-0.48%"
"09/04/2019","140.520","139.740","142.110","139.490","63.30M","-0.03%"
"08/04/2019","140.560","141.040","142.420","139.940","58.70M","-0.55%"
"05/04/2019","141.340","144.800","144.960","140.380","76.87M","-2.16%"
"04/04/2019","144.460","143.780","144.940","142.730","58.82M","0.54%"
"03/04/2019","143.680","142.060","144.160","141.520","65.55M","1.04%"
"02/04/2019","142.200","142.000","142.460","140.460","109.50M","0.23%"
"01/04/2019","141.880","141.280","142.780","139.620","86.37M","1.49%"
"29/03/2019","139.800","139.060","139.960","138.040","73.17M","0.75%"
"28/03/2019","138.760","140.920","141.680","138.300","63.68M","-1.45%"
"27/03/2019","140.800","143.860","143.860","139.620","86.56M","-1.08%"
"26/03/2019","142.340","141.000","143.240","140.360","59.14M","0.47%"
"25/03/2019","141.680","144.200","144.500","141.220","101.10M","-1.79%"
"22/03/2019","144.260","146.460","147.000","144.260","81.30M","-1.70%"
"21/03/2019","146.760","144.840","147.850","144.320","61.08M","0.84%"
"20/03/2019","145.540","146.340","148.060","145.540","62.19M","-0.03%"
"19/03/2019","145.580","144.480","146.100","144.260","62.91M","0.99%"
"18/03/2019","144.160","144.000","145.120","143.010","49.95M","0.42%"
"15/03/2019","143.560","140.460","143.560","140.200","145.22M","2.43%"
"14/03/2019","140.160","139.460","141.340","139.460","70.13M","0.55%"
"13/03/2019","139.400","138.580","140.140","138.040","87.28M","0.00%"
"12/03/2019","139.400","138.500","139.800","136.720","103.22M","0.32%"
"11/03/2019","138.960","137.480","139.480","135.050","196.46M","1.58%"
"08/03/2019","136.800","135.000","137.700","134.100","90.87M","0.87%"
"07/03/2019","135.620","134.200","136.320","133.340","83.54M","1.24%"
"06/03/2019","133.960","131.000","135.920","131.000","98.92M","-0.01%"
"05/03/2019","133.980","131.100","135.680","131.050","93.11M","1.99%"
"04/03/2019","131.360","134.000","134.200","131.040","79.81M","-2.15%"
"01/03/2019","134.240","134.760","136.000","132.520","61.18M","-0.03%"
"28/02/2019","134.280","133.600","136.130","132.360","73.17M","0.51%"
"27/02/2019","133.600","135.620","136.040","133.220","74.76M","-2.20%"
"26/02/2019","136.600","138.200","138.480","135.800","76.20M","-2.15%"
"25/02/2019","139.600","141.640","142.220","139.460","44.96M","-1.55%"
"22/02/2019","141.800","141.980","143.460","141.800","47.54M","0.42%"
"21/02/2019","141.200","142.080","142.360","138.860","50.87M","-0.83%"
"20/02/2019","142.380","141.180","142.810","140.380","40.14M","0.62%"
"19/02/2019","141.500","143.760","143.760","140.320","49.65M","-0.45%"
"18/02/2019","142.140","142.000","143.240","141.040","42.59M","0.67%"
