Date,ADS Index,,,,,,
2018-01-27,-0.329447,,,,,,
2018-01-28,-0.308849,,,,,,
2018-01-29,-0.286451,,,,,,
2018-01-30,-0.262246,,,,,,
2018-01-31,-0.236223,,,,,,
2018-02-01,-0.208374,,,,,,
2018-02-02,-0.181853,,,,,,
2018-02-03,-0.156653,,,,,,
2018-02-04,-0.132761,,,,,,
2018-02-05,-0.109932,,,,,,
2018-02-06,-0.0881565,,,,,,
2018-02-07,-0.0674258,,,,,,
2018-02-08,-0.047732,,,,,,
2018-02-09,-0.0290675,,,,,,
2018-02-10,-0.0114253,,,,,,
2018-02-11,0.00520158,,,,,,
2018-02-12,0.0205204,,,,,,
2018-02-13,0.0345372,,,,,,
2018-02-14,0.0472572,,,,,,
2018-02-15,0.0586854,,,,,,
2018-02-16,0.0688262,,,,,,
2018-02-17,0.0776835,,,,,,
2018-02-18,0.0852608,,,,,,
2018-02-19,0.0916944,,,,,,
2018-02-20,0.096987,,,,,,
2018-02-21,0.101141,,,,,,
2018-02-22,0.104157,,,,,,
2018-02-23,0.106037,,,,,,
2018-02-24,0.106781,,,,,,
2018-02-25,0.10639,,,,,,
2018-02-26,0.105532,,,,,,
2018-02-27,0.104207,,,,,,
2018-02-28,0.102414,,,,,,
2018-03-01,0.100153,,,,,,
2018-03-02,0.098721,,,,,,
2018-03-03,0.0981181,,,,,,
2018-03-04,0.098344,,,,,,
2018-03-05,0.0986512,,,,,,
2018-03-06,0.0990398,,,,,,
2018-03-07,0.0995101,,,,,,
2018-03-08,0.100062,,,,,,
2018-03-09,0.100696,,,,,,
2018-03-10,0.101412,,,,,,
2018-03-11,0.102211,,,,,,
2018-03-12,0.103401,,,,,,
2018-03-13,0.104983,,,,,,
2018-03-14,0.106958,,,,,,
2018-03-15,0.109325,,,,,,
2018-03-16,0.112087,,,,,,
2018-03-17,0.115244,,,,,,
2018-03-18,0.118797,,,,,,
2018-03-19,0.122484,,,,,,
2018-03-20,0.126307,,,,,,
2018-03-21,0.130267,,,,,,
2018-03-22,0.134365,,,,,,
2018-03-23,0.138603,,,,,,
2018-03-24,0.142983,,,,,,
2018-03-25,0.147506,,,,,,
2018-03-26,0.152846,,,,,,
2018-03-27,0.159004,,,,,,
2018-03-28,0.165983,,,,,,
2018-03-29,0.173786,,,,,,
2018-03-30,0.182414,,,,,,
2018-03-31,0.191873,,,,,,
2018-04-01,0.202165,,,,,,
2018-04-02,0.211558,,,,,,
2018-04-03,0.220054,,,,,,
2018-04-04,0.227657,,,,,,
2018-04-05,0.23437,,,,,,
2018-04-06,0.240196,,,,,,
2018-04-07,0.245137,,,,,,
2018-04-08,0.249194,,,,,,
2018-04-09,0.252375,,,,,,
2018-04-10,0.254681,,,,,,
2018-04-11,0.256114,,,,,,
2018-04-12,0.256672,,,,,,
2018-04-13,0.256358,,,,,,
2018-04-14,0.25517,,,,,,
2018-04-15,0.253109,,,,,,
2018-04-16,0.248784,,,,,,
2018-04-17,0.242195,,,,,,
2018-04-18,0.233338,,,,,,
2018-04-19,0.22221,,,,,,
2018-04-20,0.208807,,,,,,
2018-04-21,0.193124,,,,,,
